Nr;Datum;Uur;Omschrijving;Aantal KM;GPX
1;02-03-2025;09.00;Zennedijk – Temse – Weert ( Leest);87,3;https://drive.google.com/file/d/10X1eGrem7WqW4-_Ddgvvj8T2TFkhlRFp/view?usp=drive_link
2;09-03-2025;09.00;Berlaar – Wiekevorst (Hombeek);81,7;https://drive.google.com/file/d/1vWIOnSjy9kHRIxgmPBDU79zPukor_bky/view?usp=drive_link
3;16-03-2025;09.00;Grimbergen – Meise – Wemmel – Asse (Verbr. Brug);80,6;https://drive.google.com/file/d/1F4iyk-5oR6P6BPfzcBa2Deh3gppYye_g/view?usp=drive_link
4;23-03-2025;09.00;Steenhuffel – Lebbeke – Wieze – Aalst (Tisselt);80;https://drive.google.com/file/d/1eMUaGiNIe030Zhj1D41yjilwk0Kc5so7/view?usp=drive_link
5;30-03-2025;09.00;Chartreuzeberg – ’t Rot (Eppegem);86;https://drive.google.com/file/d/1EoV2gbZJf3_zZ2xk36Rh8RIfeGSr-pPh/view?usp=drive_link
6;06-04-2025;08.30;Viersel (Hombeek);96,6;https://drive.google.com/file/d/1jMs9OH_IYTd6nqbi6N-O2_Zx6S1_F2M8/view?usp=drive_link
7;13-04-2025;08.30;Aarschot – Langdorp – Testelt (Eppegem);104;https://drive.google.com/file/d/1gccCxOO1eYU64lovCpBvIxNU3SZiPafg/view?usp=drive_link
8;20-04-2025;08.30;Temse – Baasrode – Schellebelle – Aalst (Leest);101,5;https://drive.google.com/file/d/1VplKx9PylLyygToZABk73ZnCFSX2DI_A/view?usp=drive_link
9;21-04-2025;08.30;Rit naar keuze;;
10;27-04-2025;08.30;Meise – Gooik – Roosdaal (Meise);95,8;https://drive.google.com/file/d/1VHPgOrAPNsM6Zp0QXyI-UFkpo2EL12Nh/view?usp=drive_link
11;01-05-2025;08.30;Sigarenberg – Beauvechain (Eppegem);99,2;https://drive.google.com/file/d/1PqnL0J0X8jnNCPUyGndj9V86yyb0US95/view?usp=drive_link
12;04-05-2025;08.30;Meise- Gooik – Ternat - Asse;97;https://drive.google.com/file/d/1-Hr30mg1BUkvSLpSHKt4z66zFJdu9Jbf/view?usp=drive_link
13;11-05-2025;08.30;Sterrit Houtem;;
14;18-05-2025;08.30;Overijse – Brabants Pijl (Perk);92;https://drive.google.com/file/d/1PKzv10Q3prX4m09P_UxLwfL98XT0zBxu/view?usp=drive_link
15;25-05-2025;08.00;Airport Classic;;
16;29-05-2025;08.30;Scherpenheuvel;103;https://drive.google.com/file/d/1de5eo4qP0b2FHXeVvKb2u4Vp9U6N9ogb/view?usp=drive_link
17;01-06-2025;08.30;Sterrit Eppegem;;
18;08-06-2025;08.30;Hamme-mille – Waver (Elewijt));98;https://drive.google.com/file/d/1rAcsHcog957E1NEsPBAFOzZ9QZUp3pAx/view?usp=drive_link
19;9-6-2025;08.30;Rit naar keuze;;
20;15-6-2025;TBD;Vlaamse Ardennenrit;;
21;22-6-2025;08.00;Muur vesten – Bosberg – Congoberg (Verbr. Brug);123;https://drive.google.com/file/d/1FCGzSO4pmJlYCzrvORQfmVryas9GfITK/view?usp=drive_link
