Nr;Datum;Uur;Omschrijving;Aantal KM;GPX
1;2-3-2025;09.00;Londerzeel – Weert – Zennedijk                (Humbeek);71;https://drive.google.com/file/d/1vCL1jLXXh3N7iQlzx6Ql21-eIzq1SJz-/view?usp=drive_link
2;9-3-2025;09.00;Londerzeel – Asse – Grimbergen               (Humbeek);71;https://drive.google.com/file/d/1NA22D9cFWFcyJ62lajbsnJ6__7TVcfYj/view?usp=drive_link
3;16-3-2025;09.00;Berlaar – Wiekevorst (Hombeek);72;https://drive.google.com/file/d/1Qxpys7jh3bYwFDzf1AzWpy6cBGZlAtXs/view?usp=drive_link
4;23-3-2025;09.00;Tisselt – Lebbeke – Mollem                        (Tisselt);72;https://drive.google.com/file/d/1-pycmg54PMiatA_6UafV174Putsyq6WF/view?usp=drive_link
5;30-3-2025;09.00;Chartreuzeberg –Sint-Pieters-Rode          (Eppegem);80;https://drive.google.com/file/d/1VRoOyURKGKiq2WVNkDp8y-48wohwmCyS/view?usp=drive_link
6;6-4-2025;08.30;Viersel (Battel);86;https://drive.google.com/file/d/1Fd5A8TmVNICiap6ZUQFBhcePld5f5yAy/view?usp=drive_link
7;13-4-2025;08.30;Wijgmaal – Haasrode – Korbeek-Dijle      (Zemst);84;https://drive.google.com/file/d/1J89f6sfK9elqiD0ceQLRHS9KrXMOo_nq/view?usp=drive_link
8;20-4-2025;08.30;Werchter – Gelrode – Testelt                   (Weerde);95;https://drive.google.com/file/d/1OqFYbJpAf8DMA8Y6D2PaTv2CD2qyABNk/view?usp=drive_link
9;21-4-2025;08.30;Rit naar keuze;;
10;27-4-2025;08.30;Wieze – Dendermonde – Branst              (Wolvertem);90;https://drive.google.com/file/d/1kNB9l5jpIIuFZKiPhL1YKmXo1Uz8NhOQ/view?usp=drive_link
11;1-5-2025;08.30;Bekkerzeel – Drie Egypten                         (Hamme);84;https://drive.google.com/file/d/1dbXhPWSYiUy_PBadz5KpHKXjZs_3LZFx/view?usp=drive_link
12;4-5-2025;08.30;Wemmel – Asbeek – Opwijk                       (Humbeek);82;https://drive.google.com/file/d/1ymWLEAYJdHi6T8hzIIke7ymV0HbvaCDh/view?usp=drive_link
13;11-5-2025;08.30;Sterrit Houtem;;
14;18-5-2025;08.30;Overijse – Brabantse Pijl (Perk);83;https://drive.google.com/file/d/1zsLJLo7bWJgkvKOo8LFuJU7ORRIjSah6/view?usp=drive_link
15;25-5-2025;08.00;Airport Classic;;
16;29-5-2025;08.30;Scherpenheuvel;;https://drive.google.com/file/d/1F7Gaw7vCcimguK6Kl3Ma-vMATdqOrrsN/view?usp=drive_link
17;1-6-2025;08.30;Sterrit Eppegem;;
18;8-6-2025;08.30;Neerijse – Holstheide – Huldenberg (Houtem);78;https://drive.google.com/file/d/1pQqhPxkXvEtw1nyMeZsub4aQxiSn6ahr/view?usp=drive_link
19;9-6-2025;08.30;Rit naar keuze;;
20;15-6-2025;TBD;Vlaamse Ardennenrit;;
21;22-6-2025;08.30;Opdorp – Lebbeke (Hombeek);84;https://drive.google.com/file/d/1kLmm4hBo2cWdGGO_j6sa0_C-vFd-pf_o/view?usp=drive_link
22;29-6-2025;08.30;Aarschot – Langdorp (Eppegem);82;https://drive.google.com/file/d/1nL1PBuBmTjp3O5cYqhtHH7LXTUZbdy9l/view?usp=drive_link
23;6-7-2025;08.30;Keerbergen – Hulshout – Lier                      (Zemst);84;https://drive.google.com/file/d/1-IiwgjENlnBM0ZwSfQi67Zkt3OmyZxQf/view?usp=drive_link
24;13-7-2025;08.00;Sterrit Weerde;;
25;20-7-2025;08.30;Lovenjoel (Weerde);87;https://drive.google.com/file/d/1UzU46g9dFQwS5-Hd1j3hfjxTvEnAwYOb/view?usp=drive_link
26;21-7-2025;08.30;Wemmel – Steenvoorde (Verbr brug);81;https://drive.google.com/file/d/1sFg_HzBbH-toqGcUKrVxhRfsBXr7G4oS/view?usp=drive_link
27;27-7-2025;08.30;Wambeek – Ledeberg (Nieuwenrode);83;https://drive.google.com/file/d/11UqsvkB1gR-szpLDhMSUo8aLGhvAEoQz/view?usp=drive_link
28;3-8-2025;08.30;Gelrode – Testelt – Betekom (Zemst);90;https://drive.google.com/file/d/1mzbArzgOi_0PKKY9TYeP9TRsbeJDiCj8/view?usp=drive_link
29;10-8-2025;08.30;Sint-Gertrudis-Pede (Wolvertem);81;https://drive.google.com/file/d/1r2ypXEkJFs1GkqEjlxy-KfSiYkUmH16N/view?usp=drive_link
30;15-8-2025;08.30;Rit naar keuze;;
31;17-8-2025;08.30;Zennedijk – Branst – Londerzeel (Leest);86;https://drive.google.com/file/d/1K4mjY7oAhV-bXLvjreIBsCg5NkjXszwk/view?usp=drive_link
32;24-8-2025;08.30;Bertem – Huldenberg – Leefdaal (Houtem);78;https://drive.google.com/file/d/1nFyYuz9Y0WOJnRvqQK7nhI892JfU_tqo/view?usp=drive_link
33;31-8-2025;08.00;Sterrit Marc Uytterhoeven Classic;;
34;7-9-2025;08.30;Holsbeek – Dunberg – Keerbergen      (Eppegem);82;https://drive.google.com/file/d/1MoZDsB_S5taUoPNlZO8YpOLumdwVp-XL/view?usp=drive_link
35;14-9-2025;09.00;Pajottenland (Humbeek);79;https://drive.google.com/file/d/1hQuqDjeV31Wr4R1hGozwwLUH3WSiFual/view?usp=drive_link
36;21-9-2025;09.00;Grimbergen – Essene – Merchtem (Verbr brug);80;https://drive.google.com/file/d/1NSMuFUgMYnP7jkBQL42uwK4zIARtG9bN/view?usp=drive_link
37;28-9-2025;09.00;Merchtem – Branst – Willebroek (Humbeek);81;https://drive.google.com/file/d/1wctOr5hNEcY-cuA4i-3SijoMOA2tJamM/view?usp=drive_link
38;5-10-2025;09.00;Chartreuzeberg (Eppegem);71;https://drive.google.com/file/d/1SqmsnBnRv7l_3bnCeGx8FdzaESsx_jeB/view?usp=drive_link
39;12-10-2025;09.00;Londerzeel – Opwijk –Asse (Nieuwenrode);70;https://drive.google.com/file/d/1HObrX0ybjsUzCC4jcLKgXyD5CnMrispp/view?usp=drive_link
40;19-10-2025;09.00;Netendijk – Berlaar – Koningshooikt (Leest);70;https://drive.google.com/file/d/19wWW-1BW-rHjGfZ4x03tj8M2V7C3BOJT/view?usp=drive_link
41;26-10-2025;09.00;Zennedijk Temse A+B+C-ploeg (Leest);70;https://drive.google.com/file/d/1I20hXwzXACoDKM9p77DwK0hBQc1BlWMT/view?usp=drive_link
